,label,title,description,generated_description
107089,2,"Irish players support Ty, rip firing","SOUTH BEND, Ind. -- Despite voting to play in the Insight Bowl, the Notre Dame football players didn #39;t mask their shock and outrage over the sudden firing of coach Tyrone Willingham after only three seasons.",ATHENS (Reuters) - The Irish players who have backed their coach's decision to fire quarterback Tyson Furlong on Monday said they would support his decision to leave the game.
107775,4,D.C.'s Cogent  Expands in 23 Markets,"The business-internet firm plans to announce Friday the latest move in a recent buying spree, a deal the company said will give it 2,400 new business customers for its high-speed Internet service.&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;","Cogent Corp., the world's largest maker of pharmaceuticals, is expanding its presence in 23 of the nation's most populous markets, including Washington, D.C., New York and California."
33726,1,Ethics Committee Ends DeLay Fact-Finding (AP),AP - The House ethics committee ended its initial information gathering Monday and now must decide whether to order a formal investigation of whether Majority Leader Tom DeLay has misused his office.,AP - The ethics committee that oversees the company's investigation into allegations of fraud has ended a two-year investigation into the company's conduct.
100899,1,Strike call fuels Ukraine tension,Ukraine's opposition steps up its campaign to overturn the disputed presidential vote by launching a general strike.,"Ukraine #39;s government is preparing to launch a nationwide strike on the country #39;s largest oil producer, a move that could fuel tensions between the two countries."
95491,1,An Ivorian economy  #39;fatally hurt #39;,"PARIS One week after a fragile calm returned to Ivory Coast, the country #39;s business life remains in shambles, with many foreign chief executives out of the country and no prospect of their immediate return.","Ivory Coast #39;s economy has been quot;fatally hurt quot; by a spate of economic disasters in the past year, according to a report released yesterday by the International Monetary Fund."
107458,1,British Lawmaker Wins Libel Suit Against Daily Telegraph,"A member of the British Parliament, George Galloway, won a libel suit today against The Daily Telegraph of London, which dubbed him  quot;Saddam #39;s Little Helper ","A British lawmaker has won a civil lawsuit against the Daily Telegraph, accusing the newspaper of quot;inappropriately quot; reporting on the news."
119426,4,Sony Ericsson  amp; Cingular Wireless introduce Z500a,"The Sony Ericsson Z500a is available for connection to Cingular #39;s EDGE (Enhanced Data for Global Evolution) network. The new mobile phone features a built-in digital camera with zoom, a built-in video camera ","Sony Ericsson amp; Cingular Wireless have introduced the Z500a, a wireless handset designed to be used by mobile phones. The Z500a is designed to be used by mobile phones and other wireless devices."
659,1,Rumsfeld Briefs Russia on Shift of Forces,"WASHINGTON - Defense Secretary Donald Rumsfeld briefed his Russian counterpart over the weekend on U.S. plans to shift its forces stationed around the globe, in some cases potentially bringing them closer to Russia's borders...","WASHINGTON (Reuters) - U.S. Secretary of State Colin Rumsfeld said on Wednesday Russia was shifting its forces to a new base in the country, citing a report that showed the Russian government is quot;in a state of crisis quot;."
92820,1,Use of Private Airport Screeners Easier (AP),"AP - The government is making it easier for airports that want to replace federal baggage and passenger screeners with privately employed workers, The Associated Press has learned.","AP - The use of private airport screeners is becoming more common, with some airports allowing passengers to check in and out of their planes at the same time, according to a study released Monday."
99331,1,"I made the right choices for European Commission, says Barroso","Jose Manuel Barroso, the European Commission president, yesterday backed France #39;s European Commissioner, Jacques Barrot, and said he had no regrets over his handling of a dramatic showdown with MEPs last month.",BRUSSELS (Reuters) - European Commission President José Manuel Barroso said on Wednesday that he had made the right choices to run for the presidency of the European Commission.
27992,1,Senate Wants Intel Chief With Budget Say (AP),"AP - The committee writing the Senate's intelligence reorganization plan is recommending creation of a strong national intelligence director with spending power, while leaving the Pentagon in charge of some military spy agencies.","AP - The U.S. Senate wants Intel Corp.'s chief of staff to have a say in the budget, but it's not clear whether the government's budget will be approved by the Senate."
41933,2,Tiger: Not Out of the Woods Yet,"Oct. 4 issue - On a lovely afternoon in Manhattan last week, two black SUVs pulled up in front of a Starbucks on Fifth Avenue. As bodyguards in both cars debated whose turn it was to make a coffee run, Tiger ","Tiger Woods isn #39;t out of the golf world yet, but he #39;s still a contender for the PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour #39;s PGA Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour Tour"
84182,3,Infy approves Sponsored ADS,"Infosys Technologies on Monday announced that its Board of Directors approved Sponsoring a Secondary ADS Offering ( quot;the Offering quot;), against equity shares held by its existing shareholders in India.","Infy Inc., the world #39;s largest software maker, has approved a sponsorship agreement with its parent company, ADS."
49981,3,Women facing retirement poverty,"Pension rules need to be changed to help women avoid poverty in old age as a mix of low pay and time out for childcare is limiting their retirement savings, the TUC says.","Women are facing a new challenge in the age of retirement, as they struggle to make ends meet. A survey by the American Institute of Social Work found that women are more likely to be living in poverty than men, according to a report released on Wednesday."
74556,2,IOC urges Beijing to get ready for 2008,"Determined to avoid a repeat of the construction delays that threatened the Athens Games, Olympic officials arrived in Beijing on Wednesday.","The International Olympic Committee (IOC) has urged Beijing to get ready for the 2008 Olympics. The IOC said that Beijing should be ready for the 2008 Olympics, which will be held in Beijing next year."
79021,1,Qureia condemns Tel Aviv attack,"Palestinian Prime Minister Ahmed Qureia denounced Monday #39;s suicide attack in Tel Aviv, dismissing fears it might endanger Yasser Arafat #39;s return to Ramallah.","SAN FRANCISCO (Reuters) - Qureia said on Wednesday it condemned the attack on Tel Aviv, saying it was quot;inappropriate quot; and quot;inappropriate quot;."
106128,2,Men #39;s Top 25: Duke edges past Spartans,"DURHAM, NC - JJ Redick and Daniel Ewing each scored 29 points to lead the No. 10 Duke Blue Devils over the No. 11 Michigan State Spartans 81-74 Tuesday night in the ACC-Big Ten Challenge.",ATHENS (Sports Network) - The Duke men #39;s basketball team won its first match of the season with a 6-3 victory over the Spartans on Saturday.
97533,2,MSU turnovers help Penn State score four touchdowns in third &lt;b&gt;...&lt;/b&gt;,"A week after being at its best, Michigan State was at its worst. The Spartans still haven #39;t learned how to handle success, losing Saturday to Penn State, 37-13, at Beaver Stadium.",PHILADELPHIA (Sports Network) - Penn State scored four touchdowns in the third quarter to lead the No. 2 Big Ten team to a 34-28 victory over Michigan State on Saturday.
108153,4,Sun Drafts New  quot;SCO-Sensitive quot; Open Source License,"Without saying it has anything to do with its avowed determination to open source Solaris 10, Sun has sent over a newfangled open source license to the Open Source Initiative (OSI), the keeper of such things, for its approval.","Sun Microsystems has signed a new open source license that will allow the company to use its own proprietary software to create a quot;SCO-Sensitive quot; version of its Linux operating system, the company said on Thursday."
4651,2,Major League Baseball News,"The Yankees had to venture into improbable territory Thursday night to avoid their first sweep by the Twins since 1991. But like they #39;ve done so many times this season, the Yankees found the heroes to turn lemons into lemonade, winning 13-10. ","The National League has a new manager, and a new manager. The new manager is the former manager of the Yankees, and the new manager is the former manager of the Red Sox."
20548,3,Euro-Zone Growth Continues to Lag in 2Q (AP),"AP - The euro-zone economy grew by 0.5 percent in the second quarter of 2004, a touch slower than in the first three months of the year, according to initial estimates released Tuesday by the European Union.","AP - Growth in the eurozone continued to lagged in the second quarter, with the eurozone's economy growing at a slower pace than it had been in the previous year, according to a report released Monday."
19962,2,"Devil Rays Delayed by Frances, Doubleheader Vs. Yankees in Air","NEW YORK (Sports Network) - The Tampa Bay Devil Rays aren #39;t scheduled to arrive in New York City until nearly 6:00 pm Monday, leaving their scheduled doubleheader with the Yankees in the air.",The Tampa Bay Devil Rays were delayed by the Yankees for a doubleheader against the New York Yankees on Friday.
105705,4,MmO2 signs i-mode deal,"BRITISH mobile telephone operator mmO2 has announced a deal with NTT DoCoMo, Japan #39;s leading mobile phone operator, to launch i-mode mobile internet services in Britain, Germany and Ireland.","MmO2 has signed a deal to sell its i-mode mobile phone service to i-mode, a move that will allow the company to offer i-mode services to customers in the United States and Europe."
90044,1,Japan's Princess Sayako to marry government official: reports (AFP),"AFP - Princess Sayako, the only daughter of Japan's Emperor Akihito and Empress Michiko, will marry a 39-year-old official working with Tokyo's metropolitan government, press reports said.","AFP - Japan's Princess Sayako is to marry a senior government official, a source familiar with the matter said."
75367,4,Web TV Tries to Seize New Territory,"Contenders are trying novel twists on sending video over the global computer network in an effort to exploit the increasing number of in-home high-speed Internet links. &lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;","Web TV is trying to seize a new territory in the United States, a move that could help it compete with cable television and cable companies."
54436,3,September Job Growth Weaker Than Expected (Reuters),"Reuters - U.S. businesses added 96,000 jobs to\payrolls in September, the government reported on Friday, a\weaker-than-expected total that was expected to sharpen a\presidential debate later in the day over the economy's\direction.","Reuters - U.S. job growth in September was weaker than expected, the Labor Department said on Thursday, citing weakerjob growth in the United States and a drop inthe number of new jobs created in the month."
5883,1,Fight Over Kerry's War Record Escalates,"WASHINGTON - John Kerry's Vietnam War service records run to multiple medal commendations and a notation of ""conspicuous gallantry"" in combat. President Bush's file tracks the stateside career of a National Guard test pilot...","The battle over John Kerry's record war record escalated on Monday, with the Democratic presidential candidate claiming to have won the election."
117265,4,First Look: Small Business Accounting Apps (PC World),"PC World - Intuit, Best Software offer new features, prices with 2005 editions.",PC World - Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look: Small Business Accounting Apps - First Look:
84398,4,Endangered polar bears on thin ice,Unless urgent action is taken to slow down global warming polar bears will be extinct by the end of the century. The stark warning is contained in an authoritative report compiled by more than 250 scientists on the effects of climate change in the Arctic.,"The polar bears are on thin ice, and the polar bears have been able to survive for more than a century. The polar bears have been able to survive for more than a century, according to a new study published in the Journal of the American Geographical Society."
4390,2,"NL Wrap: Maddux, Sosa Help Cubs Beat Brewers", NEW YORK (Reuters) - Greg Maddux overcame a shaky start to  post his 301st career win while Sammy Sosa hit his 566th career  home run as the Chicago Cubs beat the Milwaukee Brewers 9-6 in  Milwaukee Thursday.,"The Chicago Cubs were able to beat the Milwaukee Brewers 1-0 in the National League Monday night. The Cubs had a three-run homer in the bottom of the ninth inning, and the Cubs #39; pitchers were able to get the ball back into the lineup."
115988,3,"Verizon unlikely to bid now for Sprint, sources say","Verizon Communications has no imminent plans to bid for Sprint, people familiar with the situation said Tuesday, lifting a potential obstacle to Sprint #39;s bid for Nextel Communications.","Verizon Communications Inc. is unlikely to make a bid for Sprint Corp., according to sources familiar with the matter."
76304,1,Blast rocks Islamabad Marriott,"A powerful explosion rocked the Marriott Hotel in Islamabad, Pakistan, Thursday, the BBC reported. The number of casualties was not yet known, but a BBC correspondent ","A blast rocked the hotel in Islamabad, killing at least three people and wounding more than 100, police said."
91307,4,Novell Puts Its Weight Behind Desktop Linux,"NOVEMBER 15, 2004 (COMPUTERWORLD) - Novell Inc. last week began shipping a desktop version of Linux that is designed for business users and comes with a bundled set of open-source applications as well as technical support, training and consulting options.","Novell Corp., the world #39;s largest software maker, has put its weight behind its desktop Linux operating system."
108719,2,Pacers Activate Miller From Injured List (AP),"AP - Guard Reggie Miller was activated from the Indiana Pacers' injured list Friday, and the franchise's career scoring leader will make his season debut this weekend after serving a one-game suspension.","AP - The Indiana Pacers have activated center Mike Miller from the injured list, a source familiar with the situation said."
107312,3,CIBC Q4 profit falls to \$439M from \$510M after \$300M Enron charge,TORONTO (CP) - CIBC reported Thursday its quarterly profit fell by 14 per cent due to a \$300-million charge related to litigation over loans to American energy trading firm Enron.,"NEW YORK (Reuters) - CIBC Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CIBC.N target=/stocks/quickinfo/fullquote""&gt;CIBC.N&lt;/A&gt;, the world's largest bank, on Thursday said quarterly profit fell to $439 million from $510 million after a charge from Enron Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ENR.O target=/stocks/quickinfo/fullquote""&gt;ENR.O&lt;/A&gt;."
54054,1,Results of AP Poll on Presidential Race (AP),"AP - The Associated Press-Ipsos poll on the presidential race is based on telephone interviews with 1,541 adults, including 1,273 registered voters and 944 likely voters, from all states except Alaska and Hawaii. The interviews were conducted Oct. 4-6 by Ipsos-Public Affairs.","AP - The results of an AP poll on the presidential race were released Monday, with the results showing that the Democratic Party is in a strong position to win the nomination."
17361,4,"IBM Recalls 553,000 Laptop Power Units Worldwide (Reuters)","Reuters - IBM said on Thursday it will recall\about 553,000 AC power adapters worldwide for several models of\its laptop computers because of potential fire and electrical\shock hazards.","Reuters - IBM Corp. said on Monday it recalls 553,000 power units worldwide, citing a shortage of power supplies for laptop computers."
87813,4,BearingPoint Chief Blazer Quits; No Reason Given,BearingPoint Inc. chairman and chief executive Randolph C. Blazer resigned abruptly yesterday after leading the McLean consulting firm for more than four years.,"BearingPoint Inc. #39;s Chief Blazer, who has been a part of the company #39;s board of directors, has resigned. The resignation was made on Monday, but no reason was given for his resignation."
28113,1,Europe told to 'rethink security',A study commissioned by the EU calls for a major rethink of security within its borders and beyond.,The European Union has been told to rethink its security measures in the wake of a spate of attacks on Iraqi militants.
6595,3,Audit of referendum supports Chavez,"An audit by international observers supported official elections results that gave President Hugo Chavez a victory over a recall vote against him, the secretary-general of the Organisation of American States announced.",SANTIAGO (Reuters) - Venezuelan President Hugo Chavez's parliamentary audit of a referendum on his presidential candidacy has shown that he is a strong candidate for re-election.
110821,1,UN members give Annan standing ovation in first appearance after &lt;b&gt;...&lt;/b&gt;,"UNITED NATIONS - Secretary General Kofi Annan received a standing ovation Wednesday from diplomats representing the 191 UN member states, a rare public display of support for the beleaguered UN chief following recent calls for his resignation from ","UNITED NATIONS (CP) - UN Secretary-General Kofi Annan gave a standing ovation in his first appearance as UN Secretary-General, a day after he was sworn in to the presidency."
41039,3,U.S. Stocks Down as Oil Edges Higher," NEW YORK (Reuters) - U.S. stocks fell on Monday as oil  prices hit a record high, spurring worries that energy costs  will eat into corporate profits.","NEW YORK (Reuters) - U.S. stocks fell on Friday as oil prices edged higher, a sign that the economy is recovering from a slow start to the year."
78317,4,AMD Introduces Low-Cost Net Access Device in India,"US chip maker Advanced Micro Devices Inc. (AMD.N: Quote, Profile, Research) has introduced a low-cost Internet access device that could cost just a few hundred dollars, aimed at first-time technology users in the developing world.","AMD has introduced a low-cost Net Access Device in India, which will allow users to access the Internet at a lower cost."
18310,3,Intel stock tumbles 7 after lowered outlook,"SAN FRANCISCO - Intel Corp. #39;s shares fell more than 7 percent yesterday, a day after the computer chip giant #39;s management lowered the company #39;s financial projections after concluding businesses and consumers aren #39;t in a spending mood.","NEW YORK (Reuters) - Shares of Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; tumbled 7 percent on Friday after the company lowered its outlook for the year, citing a lowered outlook from its chief executive officer's report."
28165,1,Arab allies discuss Lebanon vote,Egypt #39;s President Hosni Mubarak is on an unscheduled trip to Syria after a divisive Arab League debate over Syria #39;s military presence in Lebanon.,"BRUSSELS (Reuters) - Arab allies of the United States and Israel have discussed the possibility of a referendum on the future of Lebanon, a senior official said on Thursday."
16530,2,WOODWARD:  #39;I #39;M STILL IN CHARGE #39;,Mystery surrounded Sir Clive Woodward #39;s future as England coach tonight after he left Twickenham following a four-hour meeting with senior Rugby Football Union figures.,ATHENS (Reuters) - England striker Paul Woodward said he was still in charge of the club #39;s Champions League campaign after a scuffle with the Red Sox at Old Trafford.
2217,1,Jordanian hostage freed in Iraq,"A Jordanian who disappeared in Iraq two weeks ago and was believed to have been kidnapped has been freed and is in the custody of Iraqi police, Foreign Ministry spokesman Ali al-Ayed told reporters yesterday. ","BAGHDAD (Reuters) - A Jordanian man kidnapped in Iraq has been freed, a source close to the hostage's family said on Friday."
97737,1,Five missing German tourists found,"FIVE German tourists who went missing in Algeria #39;s Sahara desert have been found safe and well in the southern Djanet region of the north African country, local police said today.","The bodies of five German tourists who were missing in the country #39;s capital have been found, police said."
83567,1,S. Korean leaders congratulate Bush,SEOUL - South Korean leaders marked President Bushs re-election by sending congratulatory messages Thursday and expressing their hope of furthering the progress in bilateral relations in the past two years.,South Korean leaders congratulated President George W. Bush on Friday for his efforts to end the war in North Korea.
43522,1,Mosul car bomb wounds six US soldiers; Freed Italian hostage says &lt;b&gt;...&lt;/b&gt;,"A car bombing in the northern city of Mosul wounded six American soldiers, the military said Wednesday, while one of two Italian women ","MOSUL (Reuters) - A car bomb exploded near a US military convoy in the Iraqi city of Mosul on Wednesday, wounding six US soldiers and wounding an Italian hostage, a US military official said."
53256,3,Oil Prices Keep Rising,"The cost of a barrel of oil jumped more than 25 cents in just a few hours Thursday -- hitting \$52.53. .At this rate, the price could be aiming for the \$53 mark soon.","LONDON (Reuters) - U.S. oil prices continued to rise on Wednesday, with the United States and Europe gaining ground in the fight against a possible supply glut."
24960,2,"Mayfield in for Chase, Kahne out","Jeremy Mayfield last night earned a spot in NASCAR #39;s new Chase for the Championship the old-fashioned way. Down to his last chance and with the pressure on, the former Fairgrounds ",ATHENS (Reuters) - The United States will have to wait until the end of the season to decide whether it will be a race for the World Series champions.
44756,4,IBM in \$320m pension settlement,"US computer giant IBM agrees a \$320m deal with older staff, who had argued that changes to its pension scheme left them worse off.",IBM has agreed to pay $320 million to settle a pension dispute with the company over its pension plan.
63947,4,Intel whacks mobile chip prices,"Intel cut the prices of its premier mobile chips by up to a third on Sunday, as it prepares for the holiday season. The Santa Clara, Calif.","Intel Corp. has slashed the price of its mobile chips by $1 per chip, a move that could cost more than $100 million."
11933,4,Mesh cage in shoulder blade used to grow new jaw bone,A German whose lower jaw was cut out because of cancer has enjoyed his first meal in nine years - bratwurst sandwich  -er surgeons grew a new jaw bone in his back muscle and ,"A mesh cage in the shoulder blade was used to grow a new jaw bone, according to a study published in the Journal of Sports Medicine."
44927,3,Pickets plan to walk 2 weeks,"About 1,400 San Francisco hotel workers are on strike at four of the city #39;s biggest hotels after their contract negotiations stalled over differences regarding wages, health care coverage, pensions and the length of a contract.","ATHENS (Reuters) - The New York Pickets plan to walk for two weeks, the team said on Tuesday, a day after the team's first-round loss to the Atlanta Braves."
91193,4,RIM signs BT to sell Blackberry,"BT is to offer Research in Motion #39;s Blackberry mobile email and personal information management system, the UK telco said today.","BT has signed a deal to sell Blackberry to RIM, the company said on Thursday. The deal will allow the company to sell its Blackberry handsets to BT for $1 billion."
112177,4,Consoles in terribly short supply,"THIS YULE is all about console supply and there #39;s precious little units around, it has emerged. Nintendo has announced that it is going to ship another 400,000 units of its DS console to the United States to meet the shortfall there.","quot;It #39;s a big problem, quot; said Steve Ballmer, the head of Microsoft #39;s console division. It #39;s a problem that hasn #39;t been solved in years."
28332,1,Three Decapitated Corpses Found North of Baghdad," BAIJI, Iraq (Reuters) - The decapitated bodies of three  men, their heads strapped to their backs, were found dumped in  nylon bags by a roadside north of Baghdad on Wednesday, Iraqi  police and U.S. officials said.","BAGHDAD (Reuters) - Three decapitated corpses have been found north of Baghdad, the Iraqi military said on Wednesday, a day after a bombing killed at least two people and wounded more than 100."
65692,3,Arlington Capital Buys Calif. School,"The for-profit, post-secondary education industry is ripe for consolidation, and Arlington has a letter of intent to buy another school in the western United States and anticipates more deals in the next year.","Arlington Capital Corp., the largest U.S. investment bank, said Monday it has agreed to buy a California school for $1 billion in cash and stock."
61864,4,Microsoft Issues Patch for SP2,Microsoft has issued a patch for a compatibility problem between the recent Windows XP Service Pack 2 and an advertising application run on many users #39; machines.,Microsoft has released a patch for the latest version of its Windows Server 2012 operating system. The patch is designed to make it easier for users to download and install the latest version of Windows Server 2012 without having to download a new version of Windows.
76481,2,"Redskins' Arrington, Hall Out for Sunday (Reuters)",Reuters - Washington Redskins\linebacker LaVar Arrington and kicker John Hall will not play\Sunday versus the Green Bay Packers.,Reuters - Washington Redskins running back Mike Arrington will miss Sunday's game against the Baltimore Ravens because of a knee injury.
118048,2,Birmingham to sell Gronkjaer to Atletico Madrid,"Birmingham City have agreed to sell Denmark winger Jesper Gronkjaer to Spanish side Atletico Madrid, the Premier League club says.","Manchester United have agreed to sell winger Ole Gunnar Gronkjaer to Atletico Madrid for $2 million, the club said on Thursday."
49012,4,An 'Incredibles' effort (USATODAY.com),"USATODAY.com - A tenuous relationship between Disney and Pixar has not stopped marketers from teaming on promotional tie-ins for the partnership's latest release, The Incredibles. Among those hoping to capitalize on the movie is SBC, which is promoting its Internet and satellite dish service.","USATODAY.com - The world's biggest soccer team has been able to win the World Series, but it hasn't been able to win the World Series. It's just a matter of time before the World Series begins."
78555,3,Vaile hopeful of trade deal with China,"A free trade deal with China would mean billions of dollars of economic benefits for Australia, Trade Minister Mark Vaile said. In an interview with The Australian newspaper, Mr Vaile has predicted for the ","BRUSSELS (Reuters) - French President Francois Vaile said on Tuesday he was hopeful of a trade deal with China, despite the country's reluctance to renounce its nuclear weapons program."
104625,2,"Celtics 117, Magic 101","Doc Rivers got his team back on track while gaining a measure of revenge on his old squad, and the Boston Celtics snapped a four-game losing streak by beating the Orlando Magic 117-101 on Monday night.","ATHENS (Sports Network) - The Boston Celtics beat the Orlando Magic 117-101 on Saturday night, a season-high 61-81 victory over the Los Angeles Clippers."
110334,4,Is Asian Bird Flu the Next Pandemic?,Most health experts agree that Asian bird flu poses a grave danger and will likely spread unless urgent steps are taken. But some virologists caution that alarmist warnings could harm preparedness plans.,"SAN FRANCISCO (Reuters) - A pandemic of bird flu in Asia could be the next pandemic in the region, experts say."
